message,label
Click here to claim your FREE prize now!!!,1
"Hello, how are you doing today?",0
"Congratulations! You have won $1,000,000! Claim now!",1
Let's catch up over coffee this weekend,0
Urgent: Your account has been compromised. Click here to verify,1
Meeting scheduled for tomorrow at 10 AM,0
AMAZING OFFER! Get 90% discount on all products NOW,1
Can you send me the project report?,0
You are selected as a winner! Claim your prize immediately,1
"Thanks for your email, I'll reply soon",0
LIMITED TIME OFFER! Buy now and save 50%,1
Lunch at the new restaurant tomorrow?,0
VERIFY YOUR ACCOUNT NOW OR IT WILL BE DELETED,1
"Just finished the presentation, sending you the slides",0
Unlock premium membership for just $0.99 this month,1
Coffee break in 10 minutes?,0
Free iPhone available for you! Click here!,1
Team meeting notes attached,0
Act now! This offer expires in 24 hours!,1
Looking forward to seeing you tomorrow,0
CLICK NOW to see shocking photos!,1
Can we reschedule our meeting?,0
Inheritance from a distant relative! Claim your millions,1
The report you requested is ready for review,0
Special promotion just for you - 80% OFF!,1
Hope you had a great weekend,0
Nigerian Prince has money for you!,1
Let me know if you need anything else,0
EXCLUSIVE DEAL! Limited slots available!,1
See you at the conference tomorrow,0
